Tactic,Technique,Probability
collection,Adversary-in-the-Middle,0.17228031659830145
collection,Audio Capture,5.7773412675486743e-05
collection,Clipboard Data,5.7773412675486743e-05
collection,Data from Network Shared Drive,0.00924374602807788
collection,Screen Capture,5.7773412675486743e-05
collection,Video Capture,5.7773412675486743e-05
credential-access,Adversary-in-the-Middle,0.17228031659830145
credential-access,Brute Force,0.017967531342076376
credential-access,Credential Stuffing,0.054018140851580104
credential-access,Credentials In Files,0.00924374602807788
credential-access,Kerberoasting,0.055346929343116295
credential-access,Network Sniffing,0.011670229360448321
credential-access,Password Cracking,0.010572534519614074
credential-access,Password Guessing,0.017967531342076376
credential-access,Password Spraying,0.01790975792940089
credential-access,Steal or Forge Kerberos Tickets,0.058755560690970016
defense-evasion,Access Token Manipulation,0.15939684557166792
defense-evasion,Application Access Token,0.15939684557166792
defense-evasion,Bootkit,0.05933329481772488
defense-evasion,DLL Search Order Hijacking,0.02553584840256514
defense-evasion,DLL Side-Loading,0.002426483332370443
defense-evasion,Default Accounts,0.058813334103645504
defense-evasion,Disable or Modify Tools,0.05933329481772488
defense-evasion,Domain Accounts,0.054018140851580104
defense-evasion,Dylib Hijacking,0.02553584840256514
defense-evasion,Dynamic Linker Hijacking,0.9523947079553989
defense-evasion,Impair Command History Logging,0.9523947079553989
defense-evasion,Indicator Removal on Host,0.00034664047605292045
defense-evasion,Install Root Certificate,0.05933329481772488
defense-evasion,Masquerading,0.002426483332370443
defense-evasion,Match Legitimate Name or Location,0.002426483332370443
defense-evasion,Modify Registry,5.7773412675486743e-05
defense-evasion,Obfuscated Files or Information,0.5593044081113872
defense-evasion,Pass the Hash,0.04800970593332948
defense-evasion,Pass the Ticket,0.04800970593332948
defense-evasion,Path Interception by PATH Environment Variable,1.0
defense-evasion,Path Interception by Search Order Hijacking,0.002426483332370443
defense-evasion,Path Interception by Unquoted Path,0.04777861228262754
defense-evasion,Rootkit,0.05933329481772488
defense-evasion,Services File Permissions Weakness,0.1159512392397019
defense-evasion,Services Registry Permissions Weakness,0.05933329481772488
defense-evasion,Valid Accounts,0.054018140851580104
defense-evasion,Web Session Cookie,0.48905193829799526
discovery,Account Discovery,0.39233924547923044
discovery,Domain Account,0.39233924547923044
discovery,File and Directory Discovery,0.5025131434513836
discovery,Network Service Discovery,0.39233924547923044
discovery,Network Share Discovery,0.3923970188919059
